sl_no,model_type,model_name,reaction_type,reactions_text,reactions_composition_SMILES,invalid_SMILE,reactions_SMILES,invalid_reaction_SMILES,reactions_SMARTS,invalid_reaction_SMARTS,reactions_SMIRKS,invalid_reaction_SMIRKS
41,groq,groq/openai/gpt-oss-120b,Photo-dissociation,"Photodissociation, also known as photolysis or photodecomposition, is a chemical reaction where molecules are broken down by the absorption of light (photons). This process involves photons interacting with target molecules, causing them to dissociate into two fragments. Light involved can be vacuum ultraviolet (VUV), ultraviolet (UV), visible, or infrared (IR). Photon energies are sufficient to break covalent bonds or detach ligands from coordination complexes. In photosynthesis, photolysis is part of the light-dependent reactions, specifically the conversion of water to diatomic oxygen, contributing to the oxygenation of Earth's atmosphere. This occurs in the thylakoids of cyanobacteria and the chloroplasts of green algae and plants. The reaction is typically expressed as: H₂A + 2 photons → 2 e⁻ + 2 H⁺ + A.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
42,groq,groq/openai/gpt-oss-120b,Photo-isomerization,Norbornadiene to Quadricyclane conversion [Norbornadiene -> Quadricyclane],"['C1=CC2C3C1C=CC3C2', 'C1CC2C1C3CC2C3']",0.0,['C1=CC2C1C2=C>>C1C2C3C1C23'],0.0,['[C:1]=[C:2][C:3]=[C:4]>>[C:1][C:2][C:3][C:4]'],0.0,['[C:1]=[C:2].[C:3]=[C:4]>>[C:1]([C:4])[C:2]([C:3])'],0.0
43,groq,groq/openai/gpt-oss-120b,Photo-addition,"**Photo-addition Reaction Summary**

Photo-addition is a biomolecular photochemical process where electronically excited molecules form a single product. A notable example is the Paternò-Büchi reaction, which involves the photoaddition of a triplet carbonyl group with the ground state of an alkene to form a four-membered oxetane. The reaction specifics include:

1. **Paternò-Büchi Reaction**: Involves the addition of a carbonyl (C=O) group to an alkene, creating an oxetane.

2. **Addition of C-H Across a C=O Bond**: Involves the interaction of photochemically excited components leading to new bond formations, useful in synthesizing complex molecular frameworks.

3. **Addition of X-H Across a C=C Bond**: Represents the process where a bond is formed across carbon-carbon double bonds through photochemical excitation.

These reactions are integral in synthetic organic chemistry, enabling the formation of complex molecules in a controlled manner.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
44,groq,groq/openai/gpt-oss-120b,Photo-substitution,"The image depicts photosubstitution reactions of aromatic compounds focusing on the hydrolysis of 4-nitroveratrole and dimethoxynitronaphthalenes. 

**Key Reactions:**
1. **4-Nitroveratrole Hydrolysis:**
   - **Thermal Pathway:** Uses Δ and OH⁻, converting the methoxy group to a hydroxyl group.
   - **Photochemical Pathway:** Involves hv and OH⁻, achieving similar substitution.

2. **2,3-Dimethoxy-5- and -6-Nitronaphthalene Hydrolysis:**
   - Performed under hv with OH⁻ in a CH₃CN/H₂O solvent, converting methoxy groups to hydroxyl groups.

These reactions illustrate the effect of thermal and photochemical conditions on substitution mechanisms in aromatic compounds.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
45,groq,groq/openai/gpt-oss-120b,Photo-redox Reaction,"Photo-redox catalysis involves single-electron transfer using light energy to activate catalysts, typically transition-metal complexes like Ru(bipy)₃²⁺. Upon absorbing light, these sensitizers initiate a metal-to-ligand charge transfer, reaching an excited state. This state can return to the ground level through fluorescence or intersystem crossing to a triplet state, which has a longer lifespan due to spin-forbidden transitions. The triplet state can transfer energy or undergo phosphorescence. Ru(bipy)₃²⁺, a typical catalyst, exhibits a triplet state lifetime of approximately 1100 ns, allowing for extensive electron-transfer reactions before reverting to its ground state.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
46,groq,groq/openai/gpt-oss-120b,Addition Polymerization,"Addition polymerization, also known as chain-growth polymerization, involves monomers bonding directly without losing any atoms. This process requires an initiator to start a chain reaction. It typically involves a free-radical initiator donating an electron to a monomer, making it reactive for further bonding. The process includes three stages: chain initiation, where the radical reacts with a monomer; chain propagation, where the growing polymer chain continually adds monomers; and chain termination, where two radicals react to stop the process. Polyethylene synthesis exemplifies this method. This polymerization occurs without forming by-products, distinguishing it from condensation polymerization.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
47,groq,groq/openai/gpt-oss-120b,Condensation Polymerization,"Condensation polymerization, also known as step-growth polymerization, involves monomers with two or more functional groups reacting to form polymers, usually with the elimination of small molecules like water. Illustrated here is the formation of Nylon 66 from adipic acid and hexamethylene diamine. The reaction gives off water as a byproduct and forms peptide bonds, linking monomer units into a repeating structure. Unlike addition polymerization, this involves carbon-heteroatom bonds and produces polymers such as nylons and proteins. These polymers are vital due to their structural diversity and applicability in textiles and other materials.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
48,groq,groq/openai/gpt-oss-120b,Ring-Opening Polymerization,An example is the polymerization of caprolactone to produce polycaprolactone.,"['O=C1CCCCCO1', 'OCCCCCC(=O)O']",0.0,['O=C1CCCCCO1>>OCCCCCC(=O)O'],0.0,['O=C1CCCCCC1>>O[C](=O)CCCCCC'],0.0,[],0.0
49,groq,groq/openai/gpt-oss-120b,Free Radical Polymerization,"Free radical polymerization is a process primarily involving alkenes or functionally substituted alkenes used in addition reactions, facilitated by radical initiators like peroxides or azo compounds. The process involves converting a π-bond in monomers to a σ-bond in polymers, an exothermic reaction producing linear macromolecules. Four polymerization types are noted: radical, cationic, anionic, and coordination catalytic, varying by initiator and reactivity. Radical reactions are stabilized by inhibiting impurities, requiring pure monomers. Radical initiators, such as tert-butyl peroxide, benzoyl peroxide, and azobisisobutyronitrile, generate the free radicals essential for the reaction progression.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
50,groq,groq/openai/gpt-oss-120b,Ionic Polymerization,"Ionic polymerization is a chain-growth polymerization where active centers are ions or ion pairs, serving as an alternative to radical polymerization. It involves anionic and cationic types, initiated by reactive compounds such as titanium or aluminum complexes for cationic, and group 1 metals like lithium for anionic. Stability is afforded by counterions opposite in charge to the active species. It requires specific monomers: those with electron-releasing groups for cationic and stable anions with electron-withdrawing groups for anionic.

Reaction rate is influenced by solvent polarity, monomer purity, and coordination with ion pairs. Solvents like pentane and chloroform can enhance or hinder the reaction. Coordination and solvation play crucial roles in fast polymerization, preventing common termination points and enhancing overall stability.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
51,groq,groq/openai/gpt-oss-120b,Nuclear Fission,"Nuclear fission is a reaction in which an atomic nucleus splits into two or more smaller nuclei, releasing a significant amount of energy and gamma photons. Discovered by Otto Hahn and Fritz Strassmann, with theoretical insight from Lise Meitner and Otto Frisch, the process involves the fission of uranium-235 into lighter elements, emitting free neutrons and a large kinetic energy. This exothermic reaction enables a chain reaction due to the neutrons released. The process is a form of nuclear transmutation, producing different elements from the original. Nuclear fission, crucial for power generation, also has applications in nuclear weapons. 

In an example reaction, a neutron is absorbed by uranium-235, creating uranium-236, which splits into isotopes such as krypton-92 and barium-141, along with releasing free neutrons and gamma rays, facilitated by kinetic energy from thermal moderation.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
52,groq,groq/openai/gpt-oss-120b,Nuclear Fusion,"Nuclear fusion involves the merging of light nuclei, releasing energy due to the interplay between the attractive nuclear force and the repulsive Coulomb force. Smaller nuclei, like hydrogen, fuse when high temperatures overcome repulsion, leading to energy release as seen in stars. For instance, fusion of deuterium and tritium yields helium-4, a neutron, and 17.59 MeV of kinetic energy, with mass loss explained by \(E = \Delta mc^2\). This exothermic process powers the sun, fusing 620 million metric tons of hydrogen into helium per second, driving nucleosynthesis of elements lighter than cobalt.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
53,groq,groq/openai/gpt-oss-120b,Nuclear Decay,"**Nuclear Decay Summary**

The image explains two types of nuclear decay: alpha decay and beta decay.

1. **Alpha Decay**: This process involves the emission of a helium-4 nucleus, known as an alpha particle. The parent nucleus loses two protons and two neutrons. As shown in the example, Radium-226 (²²⁶₈₈Ra) decays into Radon-222 (²²²₈₆Rn) and emits an alpha particle (⁴₂He). Alpha decay typically occurs in nuclei with an atomic mass of 200 or greater.

2. **Beta Decay**: This type occurs in neutron-rich nuclei. A neutron is transformed into a proton, and a high-energy electron, called a beta particle, is emitted. The example provided depicts Iodine-131 (¹³¹₅₃I) decaying into Xenon-131 (¹³¹₅₄Xe) along with the emission of a beta particle (⁰₋₁β). The beta particle has high energy and can penetrate skin, potentially causing damage.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
54,groq,groq/openai/gpt-oss-120b,Nuclear Transmutation,"Nuclear transmutation is the conversion of one chemical element or isotope into another, achieved by altering the number of protons or neutrons in an atom's nucleus. This process can occur via nuclear reactions or radioactive decay. Historically, stellar nucleosynthesis has created most heavy elements in the universe, such as helium, oxygen, and carbon, through fusion reactions in stars. For elements heavier than iron, such as gold and lead, transmutations occur naturally in supernovae, as heavier elements require endothermic reactions for production. The provided image illustrates a proton-proton chain reaction, demonstrating the transformation of hydrogen into helium over several stages.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
55,groq,groq/openai/gpt-oss-120b,Scattering Reaction,1H + 7Li -> (7Li)* + 1H,"['[1H].[7Li]', '[7Li].[1H]']",0.0,['[1H].[7Li]>>[7Li].[1H]'],0.0,['[1H].[7Li]>>[7Li][*].[1H]'],0.0,['[1H:1].[7Li:2]>>[7Li:2].[1H:1]'],0.0
56,groq,groq/openai/gpt-oss-120b,Spallation Reaction,"Spallation is a process where fragments of material (spall) are ejected from a body due to impact or stress. In various contexts such as impact mechanics, planetary physics, mining, geology, anthropology, and nuclear physics, spallation describes different phenomena, including meteor impacts, breaking rocks, and creating arrowheads. In nuclear physics, it's the process where a nucleus emits nucleons after a high-energy particle impact, reducing atomic weight.

In solid mechanics, spallation occurs when tensile stress waves propagate through material, often due to cavitation. This can happen in flat plate impact tests, where fragments are formed by stress waves exceeding the material's tensile strength. In laser spallation, a pulsed laser, like Nd:YAG, creates a compressive stress wave in the substrate, leading to ultra-thin film peeling. This method helps in studying adhesion and involves wave propagation principles.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
57,groq,groq/openai/gpt-oss-120b,Crystallization,"Crystallization is a process that forms solids with highly organized atoms or molecules, known as crystals. Unlike amorphous solids, crystals possess regular organization and can be formed through methods like precipitation from a solution, freezing of a liquid, or gas deposition. The process depends on factors such as temperature, air pressure, cooling rate, or solute concentration. It occurs in two key steps: nucleation, where a crystalline phase appears in a supercooled or supersaturated solution, and crystal growth, where particle size increases to form the crystal state. This technique is crucial for chemical solid–liquid separation, transferring solute from liquid to solid crystalline phase, and is relevant in chemical engineering, employing equipment like crystallizers. Crystallization is closely related to precipitation, differing by producing a structured crystal rather than an amorphous solid.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
58,groq,groq/openai/gpt-oss-120b,Recrystallization,"**Recrystallization Summary**

Recrystallization, or fractional crystallization, is a method for purifying an impure compound in a solvent, relying on the principle that solubility generally increases with temperature. The process begins by dissolving the impure compound in boiling solvent and cooling to promote crystallization of the pure substance, leaving impurities in solution. The slower the cooling, the larger the crystals formed, which are then isolated via filtration.

**Key Points:**

- **Best Conditions:** Works best when impurity quantities are small and solubility varies significantly with temperature.
- **Disadvantages:** Time-consuming and requires identification of a suitable solvent.
- **Procedure Overview:**
  1. **Dissolve**: Heat solvent to dissolve impure compound.
  2. **Cool**: Slow cooling in ice bath promotes pure crystal formation.
  3. **Isolate Crystals**: Use vacuum filtration to separate pure crystals.
  4. **Dry Crystals**: Dry in an aspirator and then in a glass dish.
  
This method, despite its slow nature, effectively yields a pure product sample when properly executed.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
59,groq,groq/openai/gpt-oss-120b,Grignard Reaction,"The Grignard reaction is an organometallic chemical reaction where Grignard reagents, which are carbon alkyl, allyl, vinyl, or aryl magnesium halides, engage with carbonyl groups in aldehydes or ketones under anhydrous conditions. Catalyzed by the addition of H+/H2O, this reaction facilitates carbon-carbon bond formation, yielding alcohols. Discovered by François Auguste Victor Grignard in 1900, it earned him the 1912 Nobel Prize in Chemistry. This reaction is crucial in organic synthesis for constructing a variety of complex molecules.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
60,groq,groq/openai/gpt-oss-120b,Aldol Reaction,"The Aldol Reaction, also known as aldol addition, is a coupling reaction in organic chemistry crucial for forming carbon-carbon bonds. It involves the nucleophilic addition of an enolized ketone to a carbonyl compound, producing β-hydroxy aldehydes or ketones, known as aldols. The reaction uses aldehydes or ketones, typically catalyzed by a base like OH⁻ or an acid, and often occurs at low temperatures (around -5 to 70 °C). Key applications include synthesizing various specialty chemicals and industrial compounds like pentaerythritol and 2-ethylhexanol, illustrating its versatility and significance in organic synthesis.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
61,groq,groq/openai/gpt-oss-120b,Claisen Condensation,"The Claisen condensation is a carbon–carbon bond-forming reaction between two esters or one ester and another carbonyl compound in the presence of a strong base. It produces a β-keto ester or β-diketone. Named after Rainer Ludwig Claisen, the reaction was first published in 1887. Key conditions include the use of a strong base like sodium alkoxide and the requirement that at least one reagent is enolizable, containing an α-proton to form an enolate anion.

In the mechanism, nucleophilic substitution or addition occurs on a carbonyl carbon, facilitated by bases that do not interfere with these steps. Typical alkoxy groups must be good leaving groups, with ethyl and methyl esters being common. There are variations such as the classic self-condensation and mixed (""crossed"") Claisen condensation, allowing for diverse applications in organic synthesis.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
62,groq,groq/openai/gpt-oss-120b,Wittig Reaction,"The Wittig reaction, named after Georg Wittig, is a coupling reaction involving an aldehyde or ketone and a triphenyl phosphonium ylide to form an alkene. This reaction introduces a methylene group, enabling transformations such as the conversion of camphor to its methylene derivative. Most commonly, the reaction uses methylenetriphenylphosphorane (Ph₃P=CH₂) and typically occurs in solvents like THF or diethyl ether.

Mechanistically, unstabilized ylides form intermediates such as the oxaphosphetane, which evolves to the final alkene product. The stereochemistry of the reaction is influenced by conditions, notably lithium salts, which affect the stereochemical outcome. There is ongoing research into the interconversion of intermediates like betaine and the effects of stereochemical drift in the presence of lithium. This reaction is widely applicable for both aliphatic and aromatic aldehydes.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
63,groq,groq/openai/gpt-oss-120b,Heck Reaction,"The Heck Reaction, also known as the Mizoroki-Heck reaction, is a chemical reaction involving the coupling of an unsaturated halide or triflate with an alkene in the presence of a base and a palladium catalyst to form a substituted alkene. Developed by Tsutomu Mizoroki and Richard F. Heck, it was a pioneering carbon-carbon bond-forming reaction, leading to a Nobel Prize for Heck in 2010. This reaction is comparable to other Pd(0)-catalyzed cross-coupling reactions and serves as an alternative method to synthesize alkenes. 

Historically, Mizoroki's 1971 work detailed the coupling of iodobenzene and styrene using potassium acetate and palladium chloride at 120 °C, whereas Heck independently optimized the reaction conditions by adjusting the palladium-acetate catalyst and removing the solvent.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
64,groq,groq/openai/gpt-oss-120b,Suzuki Reaction,"The Suzuki reaction, also known as Suzuki coupling, is an organic reaction that facilitates the cross-coupling of a boronic acid with an organohalide using a palladium complex catalyst. This reaction creates a carbon-carbon single bond, contributing to the formation of polyolefins, styrenes, and substituted biphenyls. First published by Akira Suzuki in 1979, it played a significant role in the Nobel Prize in Chemistry awarded in 2010 to Suzuki, Richard F. Heck, and Ei-ichi Negishi. The reaction often involves a halide (R¹-X) and an organoboron compound (R²-BY₂) and utilizes a palladium catalyst and a base. It's an essential method for synthesizing complex molecules, often involving hydroboration or carboboration techniques. The Suzuki reaction is an important tool in the advancement of organic synthesis methodologies.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
65,groq,groq/openai/gpt-oss-120b,Chain Reaction,H2 + Br2 -> 2 HBr,"['[H][H]', 'BrBr', 'Br']",0.0,['[H][H].[Br][Br]>>[H]Br.[H]Br'],0.0,['[H][H].[Br][Br]>>[H][Br].[H][Br]'],0.0,['[H:1][H:2].[Br:3][Br:4]>>[H:1][Br:3].[H:2][Br:4]'],0.0
65,groq,groq/openai/gpt-oss-120b,Chain Reaction,Br2 -> 2 Br·,"['BrBr', '[Br]', '[Br]']",0.0,['BrBr>>Br.Br'],0.0,['BrBr>>[Br].[Br]'],0.0,['[Br:1][Br:2]>>[Br:1].[Br:2]'],0.0
65,groq,groq/openai/gpt-oss-120b,Chain Reaction,Br· + H2 -> HBr + H·,"['[Br]', '[H][H]', 'Br[H]', '[H]']",0.0,['[Br].[H][H]>>Br[H].[H]'],0.0,['[Br].[H]-[H]>>[H]-[Br].[H]'],0.0,['[Br:1].[H:2][H:3]>>[Br:1][H:2].[H:3]'],0.0
65,groq,groq/openai/gpt-oss-120b,Chain Reaction,H· + Br2 -> HBr + Br·,"['[H]', 'BrBr', 'Br', '[Br]']",0.0,['[H].[Br][Br]>>[H]Br.[Br]'],0.0,['[H].[Br][Br]>>[H][Br].[Br]'],0.0,['[H:1].[Br:2][Br:3]>>[H:1][Br:2].[Br:3]'],0.0
65,groq,groq/openai/gpt-oss-120b,Chain Reaction,H· + HBr -> H2 + Br·,"['[H]', 'Br', '[H][H]', '[Br]']",0.0,['[H].[H]Br>>[H][H].[Br]'],0.0,['[H].[H][Br]>>[H][H].[Br]'],0.0,['[H:1].[Br:2][H:3]>>[H:1][H:3].[Br:2]'],0.0
65,groq,groq/openai/gpt-oss-120b,Chain Reaction,2 Br· -> Br2,"['[Br]', '[Br]', 'BrBr']",0.0,['[Br].[Br]>>BrBr'],0.0,['[Br].[Br]>>[Br]-[Br]'],0.0,['[Br:1].[Br:2]>>[Br:1]-[Br:2]'],0.0
65,groq,groq/openai/gpt-oss-120b,Chain Reaction,H2 + O2 -> 2 H2O,"['[H][H]', 'O=O', 'O']",0.0,['[H][H].[O]=O>>O.O'],0.0,['[H][H].[O]=[O]>>[O]([H])[H]'],0.0,['[H:1][H:2].[H:3][H:4].[O:5]=[O:6]>>[O:5]([H:1])[H:3].[O:6]([H:2])[H:4]'],0.0
66,groq,groq/openai/gpt-oss-120b,Oscillating Reaction,H_2O_2 + 3 I^- + 2 H^+ -> I_3^- + 2 H_2O,"['OO', '[I-]', '[I-]', '[I-]', '[H+]', '[H+]', 'I[I-]I', 'O', 'O']",0.0,['OO.[I-].[I-].[I-].[H+].[H+]>>I[I-]I.O.O'],0.0,['[OH][OH].[I-].[H+]>>[I-]I[I-].O.O'],0.0,['[H:3][O:1][O:2][H:4].[I-:5].[I-:6].[I-:7].[H+:8].[H+:9]>>[O:1]([H:3])([H:8]).[O:2]([H:4])([H:9]).[I-:5]-[I:6]-[I-:7]'],0.0
66,groq,groq/openai/gpt-oss-120b,Oscillating Reaction,I_3^- + 2 S_2O_3^{2-} -> 3 I^- + S_4O_6^{2-},"['I[I-]I', '[O-]S(=O)(=O)[S-]', '[I-]', '[O-]S(=O)(=O)SS(=O)(=O)[O-]']",0.0,['I[I-]I.[O-]S(=O)(=O)S[O-].[O-]S(=O)(=O)S[O-]>>[I-].[I-].[I-].[O-]S(=O)(=O)SSS(=O)(=O)[O-]'],0.0,['[I-]~[I]~[I].[S;-2].[S;-2]>>[I-].[I-].[I-].[S;-2]'],0.0,"['[I:1]-[I:2]-[I:3]>>[I:1].[I:2].[I:3]', '[S:1]([O-:2])=O.[S:3]([O-:4])=O>>[S:1]([O-:2])=O-[S:3]([O-:4])=O']",0.0
67,groq,groq/openai/gpt-oss-120b,Clock Reaction,"The Iodine Clock Reaction is a classic chemical demonstration of reaction kinetics, first described by Hans Heinrich Landolt in 1886. This reaction involves iodine species and redox agents with starch, leading to a distinct color change from colorless to dark blue after a delay. Variations include using different reagents like hydrogen peroxide, sulfuric acid, and potassium iodide. In the described hydrogen peroxide variation, iodine is initially produced in a slow reaction, followed by a rapid reaction where thiosulfate reduces iodine back to iodide ions. When thiosulfate is consumed, iodine forms a complex with starch causing the blue color. Factors like pH and concentration can alter the reaction time. Cysteine can replace thiosulfate, with a similar process and result.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
1,groq,groq/openai/gpt-oss-20b,Synthesis/Combination Reaction,8Fe + S8 -> 8FeS,"['[Fe]', 'S1S=S=S=S=S=S=S1', '[Fe]S']",0.0,['[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].S1SSSSSSS1>>[Fe]S.[Fe]S.[Fe]S.[Fe]S.[Fe]S.[Fe]S.[Fe]S.[Fe]S'],0.0,['[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[S].[S].[S].[S].[S].[S].[S].[S]>>[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S]'],0.0,['[Fe:1].[S:2]>>[Fe:1][S:2]'],0.0
1,groq,groq/openai/gpt-oss-20b,Synthesis/Combination Reaction,2H2 + O2 -> 2H2O,"['[H][H]', 'O=O', 'O']",0.0,['[H][H].[O=O]>>O.O'],0.0,['[H][H].[O][O]>>[O][H][H].[O][H][H]'],0.0,['[H:1][H:2].[H:3][H:4].[O:5].[O:6]>>[O:5]([H:1])([H:3]).[O:6]([H:2])([H:4])'],0.0
2,groq,groq/openai/gpt-oss-20b,Decomposition Reaction,"An example is the electrolysis of water, where water (2H2O) decomposes into oxygen (O2) and hydrogen gas (2H2) [2H2O -> O2 + 2H2]","['O', 'O=O', '[H][H]']",0.0,['O.O>>O=O.[H][H].[H][H]'],0.0,['[OH2]>>O=O.[H][H]'],0.0,['[O:1]([H:2])([H:3]).[O:4]([H:5])([H:6])>>[O:1]=[O:4].[H:2][H:3].[H:5][H:6]'],0.0
3,groq,groq/openai/gpt-oss-20b,Single Displacement/Substitution,"[""error >>'Mg'""]",['error'],,['error'],,['error'],,['error'],
4,groq,groq/openai/gpt-oss-20b,Double Displacement/Substitution,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMARTS_reaction_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\""SMARTS_reaction_response\\\\"":[\\\\""Pb(NO3)2+2KI>>PbI2+2KNO3\\\\""]}""}\'}}']",['error'],,['error'],,['error'],,['error'],
5,groq,groq/openai/gpt-oss-20b,Combustion Reaction,"[""error >>'C'""]",['error'],,['error'],,['error'],,['error'],
6,groq,groq/openai/gpt-oss-20b,Acid-Base/Neutralization,"In Brønsted–Lowry acid-base theory, an acid-base reaction involves the transfer of protons (H⁺) from an acid to a base. The acid loses a proton to form its conjugate base, while the base gains a proton to form its conjugate acid. The reaction is reversible, maintaining equilibrium determined by the acid and base dissociation constants (Kₐ and Kᵦ). A special case of this is neutralization, where equal amounts of acid and base form a neutral salt. Acid-base reactions can be defined by different theories: 

1. **Arrhenius**: Acids release H₃O⁺ ions in water; bases release OH⁻ ions.
2. **Brønsted-Lowry**: Acids are proton donors; bases are proton acceptors.
3. **Lewis**: Acids are electron-pair acceptors; bases are electron-pair donors. 

These definitions provide frameworks for understanding the nature and outcomes of acid-base interactions.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
7,groq,groq/openai/gpt-oss-20b,Precipitation Reaction,"A precipitation reaction involves forming a solid in a solution or within another solid during a chemical reaction, occurring when ion concentrations surpass the solubility limit, resulting in an insoluble salt. This reaction can be facilitated by adding a precipitating agent or removing the solvent. Rapid processes yield amorphous or microcrystalline residues, while slower ones produce single crystals, which can also form via recrystallization from microcrystalline salts.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
8,groq,groq/openai/gpt-oss-20b,Redox/Oxidation-Reduction,"Hazardous sodium metal reacts with chlorine gas to form sodium chloride. Sodium is oxidized, losing an electron and increasing its oxidation state from 0 to +1, while chlorine is reduced, gaining an electron and decreasing its oxidation state from 0 to -1. Here, sodium acts as the reducing agent and chlorine as the oxidizing agent.","['[Na]', 'ClCl', '[Na+].[Cl-]']",0.0,['[Na].[Na].[Cl][Cl]>>[Na+].[Cl-].[Na+].[Cl-]'],0.0,['[Na].[Cl][Cl]>>[Na+].[Cl-]'],0.0,['[Na:1].[Cl:2]>>[Na:1][Cl:2]'],0.0
9,groq,groq/openai/gpt-oss-20b,Addition Reaction,"**Addition Reaction Summary**

Addition reactions involve the conversion of double or triple bonds into single bonds by adding atoms or groups to the carbon atoms involved in the unsaturation. They are a counterpart to elimination reactions, which involve removing substituents to form multiple bonds.

Key Steps:
1. **Electrophilic Addition**: A common addition mechanism where an electrophile initially attacks the π-bond of a double bond, leading to the formation of a carbocation, which is then attacked by a nucleophile. This is exemplified by the addition of hydrogen bromide (HBr) across a double bond, where H+ adds first to form a carbocation followed by the nucleophilic attack by Br-.

2. **Nucleophilic Addition**: Occurs frequently in carbonyl compounds. An example is the nucleophilic addition-elimination mechanism often seen in reactions involving carbonylic compounds.

3. **Markovnikov’s Rule**: In electrophilic additions to asymmetric alkenes, the electrophile attaches in such a way that the more stable carbocation is formed, often leading to the more substituted carbon becoming bonded to the electrophile.

Applications:
- Utilized in synthesizing crucial organic compounds, including alcohols, alkanes, and various substituted hydrocarbons.
- Important in polymerization processes, such as the formation of polymers via radical mechanisms.

Understanding addition reactions and their mechanisms, such as electrophilic and nucleophilic addition, is essential for predicting the outcomes of organic synthesis and reactivity.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
10,groq,groq/openai/gpt-oss-20b,Elimination Reaction,"### Elimination Reaction Summary

**Reaction Type:** Elimination Reaction

Elimination reactions are processes that transform organic molecules by removing substituents, forming multiple bonds such as double or triple bonds. This involves the elimination of a leaving group and typically requires a base. There are two main types: 

1. **E1 Mechanism (Unimolecular Elimination):**
   - Involves two steps, starting with the formation of a carbocation as the leaving group is expelled.
   - A proton is then removed from the adjacent carbon, resulting in a double bond.
   - Competes with S_N1 substitution reactions.

2. **E2 Mechanism (Bimolecular Elimination):**
   - Occurs in a single step where the base attacks a proton simultaneously as the leaving group departs, forming a double bond without forming an intermediate.
   - Competes with S_N2 substitution reactions.
   - The anti-position attack is typical.

Elimination reactions are used for converting alkyl halides to alkenes and alkynes. The choice of base and the reaction conditions can dictate the formation of double or triple bonds and guide the reaction's regioselectivity.

**Additional Notes:**
- The electrostatic attack of a proton and Markovnikov's rule guide the regiochemistry in electrophilic addition of hydrogen halides.
- Nucleophilic addition-elimination mechanisms can also occur, particularly in aromatic compounds.
- Elimination reactions can produce more stable double bonds and are strategic in organic synthesis for constructing complex molecular architectures.

These details underscore the significance of base choice and mechanistic pathways in achieving desired structural transformations via elimination reactions.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
11,groq,groq/openai/gpt-oss-20b,Substitution Reaction,"In a substitution reaction, a functional group in a chemical compound is replaced by another group. This involves substituting species into nucleophilic, electrophilic, or radical substitution. 

1. **Nucleophilic Substitution:** A nucleophile with excess electrons replaces a part of the substrate. It commonly involves S<sub>N</sub>1 and S<sub>N</sub>2 mechanisms. 
   - **S<sub>N</sub>1:** Two steps; slow formation of a carbocation, followed by nucleophile attack.
   - **S<sub>N</sub>2:** One-step back-side attack, leading to stereochemical inversion (Walden inversion).

2. **Electrophilic Substitution:** The species with positive charge (electrophile) substitutes into the aromatic system, commonly in aromatic hydrocarbons, leading to the formation of a σ-complex and subsequent restoration of aromaticity.

3. **Radical Substitution:** Involves radicals, often initiated by light or heat in a chain reaction, as seen in halogenation.

These reactions are pivotal in synthetic and industrial chemistry for creating complex molecules.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
